id,NO,SAMPLE_ID,code,DB,Foodname1, One_timesupply,energy,Protein,Fat,Carbohydrate,Totalsugars,Foodname2
213,214,D000372-ZZ-AVG,D000372,?뚯떇,寃뚯궡二?800.0,565,18,7,107,0,0,Crab meat porridge
214,215,D000373-ZZ-AVG,D000373,?뚯떇,源⑥＝,800,515,14,16,79,4,sesame porridge
215,216,D000375-109-AVG,D000375,?뚯떇,諛깊빀二?700.0,455,17,6,85,0,0,Lilies porridge
216,217,D000376-ZZ-AVG,D000376,?뚯떇,?뚭퀬湲곕쾭??＝,800,578,19,7,109,0,Beef mushroom porridge
217,218,D000377-110-AVG,D000377,?뚯떇,?댁＝,800,552,20,8,101,10,Eojuk
218,219,D000378-ZZ-AVG,D000378,?뚯떇,?ｌ＝,700,874,19,20,155,2,Pine nut porridge
219,220,D000380-ZZ-AVG,D000380,?뚯떇,李몄튂二?800.0,660,24,16,105,1,0,Tuna porridge
220,221,D000384-ZZ-AVG,D000384,?뚯떇,怨좊벑?댁컡媛?600.0,602,49,34,26,7,0,mackerel stew
221,222,D000385-ZZ-AVG,D000385,?뚯떇,源移섏컡媛?400.0,243,15,15,12,3,0,Kimchi stew
222,223,D000386-ZZ-AVG,D000386,?뚯떇,苑곸튂李뚭컻,300,355,24,23,12,6,Saury stew
223,224,D000389-ZZ-AVG,D000389,?뚯떇,?먮??꾧낏,500,315,26,16,17,4,Tofu hot pot
224,225,D000390-ZZ-AVG,D000390,?뚯떇,踰꾩꽢李뚭컻,400,168,15,5,15,4,Mushroom stew
225,226,D000392-111-AVG,D000392,?뚯떇,遺?李뚭컻,600,400,18,19,40,6,Spicy Sausage Stew
226,227,D000393-ZZ-AVG,D000393,?뚯떇,?덉슦?볥몢遺李뚭컻,300,166,16,8,7,2,salted shrimp tofu stew
227,228,D000394-ZZ-AVG,D000394,?뚯떇,?뚭낢李쎌쟾怨?600.0,529,42,27,29,2,0,Beef Tripe Stew
228,229,D000399-ZZ-AVG,D000399,?뚯떇,?꾧?移섏컡媛?300.0,189,11,10,13,4,0,ham kimchi stew
229,230,D000400-ZZ-AVG,D000400,?뚯떇,?몃컯李뚭컻,300,95,6,3,12,6,Pumpkin stew
230,231,D000404-ZZ-AVG,D000404,?뚯떇,?援ъ컻,500,376,52,8,25,6,steamed cod
231,232,D000405-ZZ-AVG,D000405,?뚯떇,?꾨?李?100.0,126,23,3,1,0,0,Steamed sea bream
232,233,D000406-ZZ-AVG,D000406,?뚯떇,?숉깭李?500.0,394,51,10,26,6,0,Braised frozen pollack
233,234,D000408-ZZ-AVG,D000408,?뚯떇,?쇱??깃컝鍮꾩컻,450,961,72,49,57,24,Braised Back Ribs
234,235,D000409-ZZ-AVG,D000409,?뚯떇,?쇱?癒몃━怨좉린,200,650,42,52,4,0,Pork head meat
235,236,D000410-112-AVG,D000410,?뚯떇,留ㅼ슫媛덈퉬李?300.0,517,61,20,24,11,0,Spicy Braised Short Ribs
236,237,D000411-ZZ-AVG,D000411,?뚯떇,臾몄뼱?숉쉶,80,67,15,1,1,0,Parish of Octopus
237,238,D000412-ZZ-AVG,D000412,?뚯떇,誘쇱뼱李?100.0,137,21,6,0,0,0,steamed croaker
238,239,D000413-ZZ-AVG,D000413,?뚯떇,蹂묒뼱李?100.0,180,19,12,0,0,0,steamed eel
239,240,D000414-ZZ-AVG,D000414,?뚯떇,遺곸뼱李?150.0,235,28,6,18,6,0,steamed dried pollack
240,241,D000415-100-AVG,D000415,?뚯떇,遺뺤뼱李?1100.0,836,54,37,72,16,0,steamed carp
241,242,D000416-ZZ-AVG,D000416,?뚯떇,?뚭컝鍮꾩컻,250,495,50,27,13,4,Braised Short Ribs
242,243,D000417-ZZ-AVG,D000417,?뚯떇,?쒕? ,300,542,20,26,58,3,Sundae
243,244,D000418-ZZ-AVG,D000418,?뚯떇,?꾧뎄李?400.0,311,48,5,17,1,0,steamed monkfish
244,245,D000419-29-AVG,D000419,?뚯떇,?꾧뎄李?750.0,492,65,7,43,8,0,steamed monkfish
245,246,D000420-113-AVG,D000420,?뚯떇,?덈룞李쒕떗,1500,1364,114,39,140,67,Andong jjimdak
246,247,D000421-ZZ-AVG,D000421,?뚯떇,?꾩뼱李?100.0,278,17,23,1,0,0,Steamed gizzardfish
247,248,D000422-ZZ-AVG,D000422,?뚯떇,議곌린李?100.0,182,20,11,2,0,0,Steamed corvina
248,249,D000424-ZZ-AVG,D000424,?뚯떇,李멸섕留?80.0,91,12,3,5,0,0,Charm kkomak
249,250,D000425-ZZ-AVG,D000425,?뚯떇,?쒕갑?ㅻ━諛깆닕,300,470,69,20,3,0,Oriental medicine duck baeksuk
250,251,D000426-ZZ-AVG,D000426,?뚯떇,?대Ъ李?500.0,400,43,10,35,6,0,steamed seafood
251,252,D000427-ZZ-AVG,D000427,?뚯떇,?띿뼱李?250.0,203,47,1,1,1,0,steamed skate
252,253,D000428-51-AVG,D000428,?뚯떇,媛덈굺??400.0,262,36,13,1,1,0,Galnaktang
253,254,D000432-114-AVG,D000432,?뚯떇,怨고깢,300,183,19,4,18,1,Beef-bone soup 
254,255,D000433-ZZ-AVG,D000433,?뚯떇,愿묒뼱留ㅼ슫??600.0,420,58,17,9,1,0,Spicy flatfish soup
255,256,D000436-ZZ-AVG,D000436,?뚯떇,?숈???600.0,188,29,3,10,2,0,Octopus soup
256,257,D000440-ZZ-AVG,D000440,?뚯떇,?援щℓ?댄깢,600,362,57,7,17,1,Daegu spicy soup
257,258,D000441-ZZ-AVG,D000441,?뚯떇,?援ъ?由ы깢,600,262,42,6,10,2,codfish stew
258,259,D000443-ZZ-AVG,D000443,?뚯떇,硫붽린留ㅼ슫??600.0,400,29,10,49,6,0,Spicy catfish soup
259,260,D000444-ZZ-AVG,D000444,?뚯떇,蹂듭?由ы깢,600,232,42,3,10,1,Welfare Ritang
260,261,D000447-ZZ-AVG,D000447,?뚯떇,?뚰깢,150,86,8,5,2,0,Sweeping up
261,262,D000448-ZZ-AVG,D000448,?뚯떇,?꾧뎄??600.0,246,38,5,13,2,0,Agutang
262,263,D000450-ZZ-AVG,D000450,?뚯떇,?댄깢,150,86,13,3,2,0,Fish soup
263,264,D000451-ZZ-AVG,D000451,?뚯떇,?고룷??1000.0,542,95,9,20,0,0,Yeonpo-tang
264,265,D000453-ZZ-AVG,D000453,?뚯떇,?곕윮留ㅼ슫??600.0,407,52,17,11,1,0,Spicy rockfish soup
265,266,D000454-ZZ-AVG,D000454,?뚯떇,?≫깢,150,88,13,4,0,0,Beef broth
266,267,D000456-ZZ-AVG,D000456,?뚯떇,?꾨났??600.0,197,27,3,16,1,0,Abalone soup
267,268,D000457-ZZ-AVG,D000457,?뚯떇,議곌린留ㅼ슫??600.0,384,35,19,17,4,0,Spicy corvina soup
268,269,D000458-115-AVG,D000458,?뚯떇,吏깅슧?댄깢,600,189,12,9,17,2,Jjangddoong fish soup
269,270,D000460-116-AVG,D000460,?뚯떇,異붿뼱??1000.0,317,23,13,27,0,0,Chueotang
270,271,D000461-ZZ-AVG,D000461,?뚯떇,?대Ъ??600.0,268,40,5,17,1,0,Seafood stew
271,272,D000463-ZZ-AVG,D000463,?뚯떇,怨좉뎄留덈쭧??200.0,491,3,11,95,39,0,sweet potato mattang
272,273,D000464-ZZ-AVG,D000464,?뚯떇,怨좉뎄留덊?源,100,253,3,12,34,8,Fried sweet potatoes
273,274,D000465-ZZ-AVG,D000465,?뚯떇,怨좎텛?源,100,202,8,13,15,2,Fried chili pepper
274,275,D000468-ZZ-AVG,D000468,?뚯떇,???源,300,903,65,50,49,2,Fried chicken
275,276,D000469-ZZ-AVG,D000469,?뚯떇,?깆떖?덇???200.0,624,33,38,38,4,0,Sirloin Pork Cutlet
276,277,D000470-112-AVG,D000470,?뚯떇,紐⑤옒吏묓?源,150,468,28,27,29,2,Fried Sandhouse
277,278,D000471-ZZ-AVG,D000471,?뚯떇,誘멸씀?쇱??源,100,387,11,25,29,0,Fried loach
278,279,D000473-ZZ-AVG,D000473,?뚯떇,?앹꽑源뚯뒪,200,653,24,41,47,2,Fish cutlets
279,280,D000474-ZZ-AVG,D000474,?뚯떇,?덉떖?덇???200.0,652,33,42,34,3,0,tenderloin pork cutlet
280,281,D000475-ZZ-AVG,D000475,?뚯떇,?묐뀗移섑궓,200,552,36,27,42,13,seasoned spicy chicken
281,282,D000477-ZZ-AVG,D000477,?뚯떇,伊먰룷?源,100,357,10,16,43,8,Fried dried filefish
282,283,D000479-ZZ-AVG,D000479,?뚯떇,移섏쫰?덇???250.0,755,42,47,42,4,0,Cheese pork cutlet
283,284,D000480-ZZ-AVG,D000480,?뚯떇,移섑궓源뚯뒪,200,593,28,34,44,4,Chicken cutlet
284,285,D000481-ZZ-AVG,D000481,?뚯떇,?援ы룷,100,141,32,0,2,0,dried codfish
285,286,D000482-ZZ-AVG,D000482,?뚯떇,遺곸뼱??20.0,66,15,0,0,0,0,dried pollack
286,287,D000483-ZZ-AVG,D000483,?뚯떇,留ㅼ옉怨?30.0,124,2,4,20,5,0,falconism
287,288,D000484-ZZ-AVG,D000484,?뚯떇,?곗옄,30,110,1,1,25,9,the living
288,289,D000485-ZZ-AVG,D000485,?뚯떇,?≫솕?ㅼ떇,30,111,2,1,22,8,Songhwa Vershik
289,290,D000486-ZZ-AVG,D000486,?뚯떇,?쎄낵,30,120,1,1,25,5,Yakgwa
290,291,D000487-ZZ-AVG,D000487,?뚯떇,?좉낵,30,127,1,4,22,7,Yugwa
300,292,D000488-ZZ-AVG,D000488,음식,샐러드,140,138,2,8,13,13,green-salad
301,293,D000489-ZZ-AVG,D000488,음식,커틀렛카레,200,328,15,14,35,0,cutlet-curry
302,294,D000490-ZZ-AVG,D000489,음식,장조림,30,17,1,1,0.29,0,seasoned-beef-with-potatoes
